"","pid","age_pre","migration_pre","language_pre","gender_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_pre","ges_invalid_pre","age_post","migration_post","language_post","gender_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_post","ges_invalid_post","treat","treat_drop","Uni","klassenstufe"
"1","a301",8,3,3,2,42,41,30,30,35,36,9,7,33,32,5,3,35,0,9,3,3,2,41,41,36,35,32,31,9,9,34,31,7,5,34,0,1,0,"ka",3
"2","a302",9,NA,NA,1,40,44,33,28,40,48,16,10,36,52,15,4,37,0,10,3,2,1,45,46,42,40,39,54,24,14,26,63,24,2,35,0,0,0,"ka",3
"3","a303",8,3,3,2,49,48,38,38,48,46,15,15,41,47,12,6,45,0,9,3,2,2,50,51,48,46,47,45,19,19,42,45,14,9,46,0,0,0,"ka",3
"4","a304",8,3,3,1,33,34,23,20,33,31,6,6,36,35,6,4,32,0,9,3,3,1,33,34,28,26,36,36,13,12,36,40,11,6,33,0,1,0,"ka",3
"5","a305",8,1,1,1,49,52,42,37,51,50,17,17,41,46,11,6,47,0,9,1,1,1,59,58,56,56,57,55,25,25,42,50,17,9,53,0,0,0,"ka",3
"6","a306",8,3,2,1,65,65,57,57,65,64,26,26,50,66,24,10,61,0,9,3,2,1,60,60,58,58,64,62,29,29,46,61,23,11,57,0,0,0,"ka",3
"7","a307",9,3,2,1,56,59,50,46,51,53,19,17,46,51,14,8,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ka",3
"8","a308",9,1,1,2,48,47,36,36,38,38,10,9,41,54,16,6,41,0,9,1,1,2,54,55,52,51,47,47,20,19,38,52,18,7,46,0,0,0,"ka",3
"9","a309",8,3,2,1,38,37,26,25,28,27,4,3,36,44,10,4,32,0,9,3,2,1,38,39,34,32,34,34,11,10,32,45,14,4,33,0,1,0,"ka",3
"10","a310",8,1,1,2,34,34,23,21,26,33,7,2,33,35,6,3,29,0,9,1,1,2,36,36,30,29,34,32,10,10,32,31,7,4,32,0,1,0,"ka",3
