"","pid","age_pre","gender_pre","migration_pre","language_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_t_pre","ges_invalid_pre","klassenstufe.x","age_post","gender_post","migration_post","language_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_t_post","ges_invalid_post","klassenstufe.y","klassenstufe_post","dummy_foerderung"
"1",6001102,8,2,2,1,42,41,30,30,41,39,11,11,39,38,7,5,39,0,3,9,2,3,2,44,44,40,39,41,41,16,15,38,42,12,7,40,0,3,3,0
"2",6001103,9,2,1,1,43,42,31,31,36,41,12,8,41,46,11,6,39,0,3,10,2,1,2,44,44,40,39,39,38,14,14,38,45,14,7,39,0,3,3,0
"3",6001106,8,2,3,2,32,32,20,19,40,39,11,10,43,49,13,7,37,0,3,9,2,3,3,43,43,38,38,38,39,15,13,36,40,11,6,38,0,3,3,0
"4",6001107,9,2,1,1,44,43,32,32,40,39,11,10,48,57,18,9,43,0,3,NA,2,1,1,48,47,43,43,44,47,20,17,38,52,18,7,42,0,3,3,0
"5",6001108,8,2,1,1,40,38,27,27,38,38,10,9,36,38,7,4,36,0,3,9,2,1,1,41,41,36,35,36,38,14,12,36,42,12,6,36,0,3,3,1
"6",6001109,8,2,2,1,41,41,30,29,35,38,10,7,33,66,24,3,35,0,3,NA,2,3,2,42,42,37,36,38,36,13,13,32,65,25,4,36,0,3,3,0
"7",6001110,7,2,1,1,36,35,24,23,36,36,9,8,39,38,7,5,35,0,3,8,2,1,1,47,47,43,42,42,42,17,16,38,44,13,7,41,0,3,3,1
"8",6001111,NA,1,3,2,30,34,22,17,30,53,19,4,25,25,0,0,26,1,3,11,1,3,2,31,36,30,23,28,34,11,6,46,67,26,11,33,0,3,3,0
"9",6001112,NA,1,NA,2,33,32,20,20,30,36,9,4,36,42,9,4,31,0,3,10,1,2,2,31,29,23,23,27,32,10,5,34,42,12,5,28,0,3,3,0
"10",6001113,8,1,1,1,54,53,43,43,58,56,21,21,48,55,17,9,54,0,3,9,1,1,1,52,51,48,48,64,62,29,29,46,61,23,11,54,0,3,3,0
